timestamp,thames_ditton
2026-02-21 00:00:00+00:00,5.496
2026-02-21 00:15:00+00:00,5.497
2026-02-21 00:30:00+00:00,5.492
2026-02-21 00:45:00+00:00,5.49
2026-02-21 01:00:00+00:00,5.487
2026-02-21 01:15:00+00:00,5.484
2026-02-21 01:30:00+00:00,5.484
2026-02-21 01:45:00+00:00,5.481
2026-02-21 02:00:00+00:00,5.479
2026-02-21 02:15:00+00:00,5.479
2026-02-21 02:30:00+00:00,5.481
2026-02-21 02:45:00+00:00,5.475
2026-02-21 03:00:00+00:00,5.474
2026-02-21 03:15:00+00:00,5.476
2026-02-21 03:30:00+00:00,5.48
2026-02-21 03:45:00+00:00,5.488
2026-02-21 04:00:00+00:00,5.511
2026-02-21 04:15:00+00:00,5.553
2026-02-21 04:30:00+00:00,5.623
2026-02-21 04:45:00+00:00,5.709
2026-02-21 05:00:00+00:00,5.798
2026-02-21 05:15:00+00:00,5.858
2026-02-21 05:30:00+00:00,5.89
2026-02-21 05:45:00+00:00,5.89
2026-02-21 06:00:00+00:00,5.878
2026-02-21 06:15:00+00:00,5.848
2026-02-21 06:30:00+00:00,5.814
2026-02-21 06:45:00+00:00,5.779
2026-02-21 07:00:00+00:00,5.741
2026-02-21 07:15:00+00:00,5.709
2026-02-21 07:30:00+00:00,5.686
2026-02-21 07:45:00+00:00,5.657
2026-02-21 08:00:00+00:00,5.633
2026-02-21 08:15:00+00:00,5.615
2026-02-21 08:30:00+00:00,5.598
2026-02-21 08:45:00+00:00,5.583
2026-02-21 09:00:00+00:00,5.567
2026-02-21 09:15:00+00:00,5.559
2026-02-21 09:30:00+00:00,5.546
2026-02-21 09:45:00+00:00,5.534
2026-02-21 10:00:00+00:00,5.526
2026-02-21 10:15:00+00:00,5.522
2026-02-21 10:30:00+00:00,5.514
2026-02-21 10:45:00+00:00,5.503
2026-02-21 11:00:00+00:00,5.498
2026-02-21 11:15:00+00:00,5.497
2026-02-21 11:30:00+00:00,5.487
2026-02-21 11:45:00+00:00,5.488
2026-02-21 12:00:00+00:00,5.48
2026-02-21 12:15:00+00:00,5.481
2026-02-21 12:30:00+00:00,5.478
2026-02-21 12:45:00+00:00,5.478
2026-02-21 13:00:00+00:00,5.479
2026-02-21 13:15:00+00:00,5.475
2026-02-21 13:30:00+00:00,5.474
2026-02-21 13:45:00+00:00,5.473
2026-02-21 14:00:00+00:00,5.474
2026-02-21 14:15:00+00:00,5.467
2026-02-21 14:30:00+00:00,5.47
2026-02-21 14:45:00+00:00,5.472
2026-02-21 15:00:00+00:00,5.474
2026-02-21 15:15:00+00:00,5.471
2026-02-21 15:30:00+00:00,5.473
2026-02-21 15:45:00+00:00,5.471
2026-02-21 16:00:00+00:00,5.472
2026-02-21 16:15:00+00:00,5.484
2026-02-21 16:30:00+00:00,5.504
2026-02-21 16:45:00+00:00,5.553
2026-02-21 17:00:00+00:00,5.636
2026-02-21 17:15:00+00:00,5.734
2026-02-21 17:30:00+00:00,5.825
2026-02-21 17:45:00+00:00,5.877
2026-02-21 18:00:00+00:00,5.901
2026-02-21 18:15:00+00:00,5.904
