timestamp,value
2026-03-18T10:15:00Z,0.737
2026-03-18T10:00:00Z,0.736
2026-03-18T09:45:00Z,0.737
2026-03-18T09:30:00Z,0.737
2026-03-18T09:15:00Z,0.738
2026-03-18T09:00:00Z,0.739
2026-03-18T08:45:00Z,0.739
2026-03-18T08:30:00Z,0.741
2026-03-18T08:15:00Z,0.741
2026-03-18T08:00:00Z,0.743
2026-03-18T07:45:00Z,0.743
2026-03-18T07:30:00Z,0.743
2026-03-18T07:15:00Z,0.743
2026-03-18T07:00:00Z,0.744
2026-03-18T06:45:00Z,0.745
2026-03-18T06:30:00Z,0.744
2026-03-18T06:15:00Z,0.746
2026-03-18T06:00:00Z,0.746
2026-03-18T05:45:00Z,0.746
2026-03-18T05:30:00Z,0.747
2026-03-18T05:15:00Z,0.748
2026-03-18T05:00:00Z,0.748
2026-03-18T04:45:00Z,0.75
2026-03-18T04:30:00Z,0.749
2026-03-18T04:15:00Z,0.751
2026-03-18T04:00:00Z,0.752
2026-03-18T03:45:00Z,0.752
2026-03-18T03:30:00Z,0.753
2026-03-18T03:15:00Z,0.753
2026-03-18T03:00:00Z,0.754
2026-03-18T02:45:00Z,0.755
2026-03-18T02:30:00Z,0.755
2026-03-18T02:15:00Z,0.756
2026-03-18T02:00:00Z,0.757
2026-03-18T01:45:00Z,0.757
2026-03-18T01:30:00Z,0.758
2026-03-18T01:15:00Z,0.758
2026-03-18T01:00:00Z,0.76
2026-03-18T00:45:00Z,0.76
2026-03-18T00:30:00Z,0.761
2026-03-18T00:15:00Z,0.762
2026-03-18T00:00:00Z,0.763
2026-03-17T23:45:00Z,0.762
2026-03-17T23:30:00Z,0.762
2026-03-17T23:15:00Z,0.765
2026-03-17T23:00:00Z,0.766
2026-03-17T22:45:00Z,0.768
2026-03-17T22:30:00Z,0.766
2026-03-17T22:15:00Z,0.767
2026-03-17T22:00:00Z,0.768
2026-03-17T21:45:00Z,0.77
2026-03-17T21:30:00Z,0.769
2026-03-17T21:15:00Z,0.77
2026-03-17T21:00:00Z,0.77
2026-03-17T20:45:00Z,0.77
2026-03-17T20:30:00Z,0.771
2026-03-17T20:15:00Z,0.769
2026-03-17T20:00:00Z,0.772
2026-03-17T19:45:00Z,0.772
2026-03-17T19:30:00Z,0.773
2026-03-17T19:15:00Z,0.773
2026-03-17T19:00:00Z,0.773
2026-03-17T18:45:00Z,0.775
2026-03-17T18:30:00Z,0.774
2026-03-17T18:15:00Z,0.774
2026-03-17T18:00:00Z,0.774
2026-03-17T17:45:00Z,0.774
2026-03-17T17:30:00Z,0.775
2026-03-17T17:15:00Z,0.775
2026-03-17T17:00:00Z,0.777
2026-03-17T16:45:00Z,0.775
2026-03-17T16:30:00Z,0.778
2026-03-17T16:15:00Z,0.777
2026-03-17T16:00:00Z,0.777
2026-03-17T15:45:00Z,0.78
2026-03-17T15:30:00Z,0.778
2026-03-17T15:15:00Z,0.776
2026-03-17T15:00:00Z,0.778
2026-03-17T14:45:00Z,0.778
2026-03-17T14:30:00Z,0.778
2026-03-17T14:15:00Z,0.779
2026-03-17T14:00:00Z,0.778
2026-03-17T13:45:00Z,0.779
2026-03-17T13:30:00Z,0.78
2026-03-17T13:15:00Z,0.779
2026-03-17T13:00:00Z,0.78
2026-03-17T12:45:00Z,0.78
2026-03-17T12:30:00Z,0.781
2026-03-17T12:15:00Z,0.78
2026-03-17T12:00:00Z,0.782
2026-03-17T11:45:00Z,0.782
2026-03-17T11:30:00Z,0.781
2026-03-17T11:15:00Z,0.782
2026-03-17T11:00:00Z,0.779
2026-03-17T10:45:00Z,0.782
2026-03-17T10:30:00Z,0.781
2026-03-17T10:15:00Z,0.783
2026-03-17T10:00:00Z,0.783
2026-03-17T09:45:00Z,0.783
2026-03-17T09:30:00Z,0.782
2026-03-17T09:15:00Z,0.782
2026-03-17T09:00:00Z,0.783
2026-03-17T08:45:00Z,0.782
2026-03-17T08:30:00Z,0.785
2026-03-17T08:15:00Z,0.783
2026-03-17T08:00:00Z,0.784
2026-03-17T07:45:00Z,0.784
2026-03-17T07:30:00Z,0.784
2026-03-17T07:15:00Z,0.782
2026-03-17T07:00:00Z,0.784
2026-03-17T06:45:00Z,0.782
2026-03-17T06:30:00Z,0.782
2026-03-17T06:15:00Z,0.782
2026-03-17T06:00:00Z,0.781
2026-03-17T05:45:00Z,0.779
2026-03-17T05:30:00Z,0.782
2026-03-17T05:15:00Z,0.781
2026-03-17T05:00:00Z,0.781
2026-03-17T04:45:00Z,0.781
2026-03-17T04:30:00Z,0.78
2026-03-17T04:15:00Z,0.78
2026-03-17T04:00:00Z,0.78
2026-03-17T03:45:00Z,0.781
2026-03-17T03:30:00Z,0.782
2026-03-17T03:15:00Z,0.779
2026-03-17T03:00:00Z,0.781
2026-03-17T02:45:00Z,0.782
2026-03-17T02:30:00Z,0.781
