timestamp,value
2026-01-06T00:00:00Z,0.619
2026-01-06T00:15:00Z,0.621
2026-01-06T00:30:00Z,0.624
2026-01-06T00:45:00Z,0.626
2026-01-06T01:00:00Z,0.627
2026-01-06T01:15:00Z,0.63
2026-01-06T01:30:00Z,0.631
2026-01-06T01:45:00Z,0.632
2026-01-06T02:00:00Z,0.634
2026-01-06T02:15:00Z,0.634
2026-01-06T02:30:00Z,0.636
2026-01-06T02:45:00Z,0.637
2026-01-06T03:00:00Z,0.638
2026-01-06T03:15:00Z,0.638
2026-01-06T03:30:00Z,0.639
2026-01-06T03:45:00Z,0.64
2026-01-06T04:00:00Z,0.641
2026-01-06T04:15:00Z,0.642
2026-01-06T04:30:00Z,0.642
2026-01-06T04:45:00Z,0.644
2026-01-06T05:00:00Z,0.643
2026-01-06T05:15:00Z,0.642
2026-01-06T05:30:00Z,0.643
2026-01-06T05:45:00Z,0.642
2026-01-06T06:00:00Z,0.642
2026-01-06T06:15:00Z,0.639
2026-01-06T06:30:00Z,0.641
2026-01-06T06:45:00Z,0.639
2026-01-06T07:00:00Z,0.636
2026-01-06T07:15:00Z,0.633
2026-01-06T07:30:00Z,0.631
2026-01-06T07:45:00Z,0.63
2026-01-06T08:00:00Z,0.624
2026-01-06T08:15:00Z,0.618
2026-01-06T08:30:00Z,0.612
2026-01-06T08:45:00Z,0.609
2026-01-06T09:00:00Z,0.607
2026-01-06T09:15:00Z,0.607
2026-01-06T09:30:00Z,0.605
2026-01-06T09:45:00Z,0.604
2026-01-06T10:00:00Z,0.603
2026-01-06T10:15:00Z,0.603
2026-01-06T10:30:00Z,0.603
2026-01-06T10:45:00Z,0.603
2026-01-06T11:00:00Z,0.603
2026-01-06T11:15:00Z,0.603
2026-01-06T11:30:00Z,0.605
2026-01-06T11:45:00Z,0.605
2026-01-06T12:00:00Z,0.607
2026-01-06T12:15:00Z,0.608
2026-01-06T12:30:00Z,0.61
2026-01-06T12:45:00Z,0.611
2026-01-06T13:00:00Z,0.613
2026-01-06T13:15:00Z,0.614
2026-01-06T13:30:00Z,0.616
2026-01-06T13:45:00Z,0.617
2026-01-06T14:00:00Z,0.62
2026-01-06T14:15:00Z,0.62
2026-01-06T14:30:00Z,0.622
2026-01-06T14:45:00Z,0.623
2026-01-06T15:00:00Z,0.625
2026-01-06T15:15:00Z,0.626
2026-01-06T15:30:00Z,0.627
2026-01-06T15:45:00Z,0.628
2026-01-06T16:00:00Z,0.631
2026-01-06T16:15:00Z,0.632
2026-01-06T16:30:00Z,0.632
2026-01-06T16:45:00Z,0.633
2026-01-06T17:00:00Z,0.635
2026-01-06T17:15:00Z,0.634
2026-01-06T17:30:00Z,0.635
2026-01-06T17:45:00Z,0.634
2026-01-06T18:00:00Z,0.633
2026-01-06T18:15:00Z,0.634
2026-01-06T18:30:00Z,0.633
2026-01-06T18:45:00Z,0.633
2026-01-06T19:00:00Z,0.633
2026-01-06T19:15:00Z,0.636
2026-01-06T19:30:00Z,0.636
2026-01-06T19:45:00Z,0.635
2026-01-06T20:00:00Z,0.634
2026-01-06T20:15:00Z,0.632
2026-01-06T20:30:00Z,0.631
2026-01-06T20:45:00Z,0.63
2026-01-06T21:00:00Z,0.63
2026-01-06T21:15:00Z,0.631
2026-01-06T21:30:00Z,0.633
2026-01-06T22:30:00Z,0.632
2026-01-06T22:15:00Z,0.631
2026-01-06T22:00:00Z,0.63
2026-01-06T21:45:00Z,0.632
2026-01-06T22:45:00Z,0.63
2026-01-06T23:00:00Z,0.63
2026-01-06T23:15:00Z,0.629
2026-01-06T23:30:00Z,0.629
2026-01-06T23:45:00Z,0.629
2026-01-07T00:00:00Z,0.629
2026-01-07T00:15:00Z,0.628
2026-01-07T00:30:00Z,0.63
2026-01-07T00:45:00Z,0.63
2026-01-07T01:00:00Z,0.634
2026-01-07T01:15:00Z,0.636
2026-01-07T01:30:00Z,0.636
2026-01-07T01:45:00Z,0.638
2026-01-07T02:00:00Z,0.636
